id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
8d270b305ecc31fa685e8b3080f6da56,warszawa,apartmentBuilding,40.0,2.0,6.0,6.0,2021.0,52.2290998,20.9151739,6.03,19.0,0.314,0.166,0.109,0.339,0.341,2.057,0.041,condominium,brick,,no,yes,yes,yes,yes,3200
6a8886c41c83c6316bed080cb492ae7d,katowice,blockOfFlats,72.0,4.0,10.0,10.0,1980.0,50.218,19.02313,4.6,0.0,1.794,2.418,2.989,2.038,1.247,3.614,2.325,condominium,concreteSlab,premium,no,yes,yes,no,no,2400
00965fd7c3f0b29d0a7c1be7b39a0f95,warszawa,blockOfFlats,118.0,4.0,3.0,6.0,1997.0,52.24002,20.99994,0.96,56.0,0.136,0.365,0.419,0.079,0.231,0.428,0.191,condominium,,,yes,yes,yes,no,no,7500
0a1a96828d43086848ed024c09b2f767,gdansk,apartmentBuilding,76.04,3.0,4.0,4.0,2019.0,54.3419,18.6565,0.84,13.0,0.096,0.118,0.154,0.749,0.173,1.373,0.275,condominium,brick,premium,no,yes,yes,no,no,4800
e1076f6408d87c2b1e036aaf94e1da39,krakow,,56.0,2.0,,8.0,2012.0,50.0273212,19.9190815,3.4,24.0,0.08,0.059,0.365,0.048,0.033,1.857,0.138,condominium,,,no,no,yes,no,no,3400
a9f7570f4aa56f2200fcae87c538c2a9,krakow,apartmentBuilding,54.0,2.0,1.0,7.0,,50.0492541,19.9593263,1.64,24.0,0.166,0.246,0.533,0.317,0.033,0.732,0.431,condominium,brick,,yes,yes,yes,no,yes,3500
ce2eb7bc8884d83b11464576b8de9ef5,gdynia,,48.0,2.0,2.0,3.0,,54.50537,18.54244,1.75,16.0,0.275,0.107,0.484,0.273,0.396,0.807,0.235,condominium,,,no,no,no,no,no,1900
ea6cbecceddc3e56a3d02e72f889da85,rzeszow,blockOfFlats,37.0,2.0,4.0,6.0,2015.0,50.0301,22.0093,0.87,14.0,0.475,0.696,0.682,0.457,0.083,0.453,0.467,condominium,brick,,yes,yes,yes,yes,yes,2000
1457ad16049a8a6ceb63fac4bf93adad,warszawa,blockOfFlats,39.0,2.0,2.0,5.0,,52.2258005957183,21.0186250686502,1.22,108.0,0.102,0.337,0.337,0.057,0.039,0.444,0.228,condominium,brick,,no,no,yes,no,no,3800
a66c3e3c43d469cdd1053686df14e36c,warszawa,,38.0,2.0,6.0,12.0,,52.19926,21.01268,3.66,28.0,0.175,0.381,0.077,0.13,0.091,0.984,0.118,condominium,,,no,no,no,no,no,4000
